Kraftstoffdruck,Kraftstoffverbrauch der Reise,Reisedistanz,Motor-Umdrehungen,Einlaß-Lufttemperatur,Umgebungstemperatur,Luftdurchfluß,Motoröltemperatur,Durchschnittliche Reisegeschwindigkeit,Kraftstoffverbrauch,Berechneter Lastwert,Zeit-Kraftstoffverbrauch.,Kraftstofftank-Inhalt,Geschwindigkeit
35230000,0.00075786666,0,1361,20,7,14.21,0,52,8.923077,64.70588,4.64,12.156863,52
35350000,0.0035745555,0,1402,20,7,15.29,0,53.551243,9.245654,69.01961,4.9926534,12.54902,54
35230000,0.0067466265,0.1,1466,20,7,17.16,0,54.6206,10.005832,69.803925,5.603266,13.333333,56
34520000,0.0099098915,0.1,1539,19,7,18.75,0,55.871853,10.377033,73.72549,6.1224494,11.764706,59
34980000,0.014159475,0.1,1628,19,7,20.74,0,57.446476,10.922976,73.333336,6.772245,9.411765,62
35030000,0.019183451,0.2,1737,19,7,23.59,0,59.462948,11.496801,80.39216,7.7028575,11.372549,67
35740000,0.020186372,0.2,1823,19,6,6.16,0,61.064545,2.832998,18.039215,2.0114286,14.117647,71
32989998,0.020384286,0.3,1881,19,6,1,0,62.78869,0.4473022,13.725491,0.3265306,15.294118,73
31729998,0.020787809,0.3,1733,20,6,2.23,0,63.396942,1.0708283,6.6666665,0.7281633,12.54902,68
33459998,0.020787809,0.3,1590,20,6,0,0,63.47887,0,56.47059,0,7.8431373,64
35340000,0.025298938,0.4,1634,19,6,20.4,0,63.426285,10.573372,73.72549,6.661224,6.27451,63
35140000,0.028947592,0.4,1707,18,6,22.65,0,63.616486,11.205936,76.47059,7.395918,5.882353,66
30699998,0.029484922,0.5,1704,20,6,2.71,0,63.815346,1.3407545,8.627451,0.884898,7.8431373,66
35130000,0.03402816,0.5,1748,19,6,17.8,0,64.12443,8.674992,31.37255,5.812245,12.156863,67
32969998,0.034716785,0.6,1742,19,6,4.27,0,64.40606,2.020704,5.882353,1.3942858,14.509804,69
34310000,0.03828212,0.6,1757,19,6,17.18,0,64.585594,8.372829,51.372547,5.609796,16.470589,67
33940000,0.03871887,0.6,1709,19,6,2.22,0,64.73406,1.0819372,32.156864,0.7248979,16.862745,67
32939998,0.03959083,0.7,1734,19,6,4.07,0,65.00237,1.9260575,5.098039,1.3289796,16.862745,69
32159998,0.04389593,0.7,1792,19,6,20.01,0,65.239395,9.469388,11.764706,6.5338774,17.647058,69
35180000,0.048705008,0.8,1821,18,6,16.88,0,65.58612,7.8740525,33.72549,5.5118365,17.647058,70
34880000,0.049815975,0.8,1839,18,6,5.57,0,65.84909,2.5616558,40.784313,1.8187755,0,71
28939998,0.050346296,0.9,1790,19,6,2.35,0,66.06506,1.0962099,6.27451,0.76734686,17.254902,70
28889998,0.05076261,0.9,0,19,6,2.03,0,66.1073,0.98933905,8.235294,0.6628572,16.470589,67
