Kraftstoffverbrauch der Reise,Reisedistanz,Motor-Umdrehungen,Einlaß-Lufttemperatur,Umgebungstemperatur,Luftdurchfluß,Motoröltemperatur,Durchschnittliche Reisegeschwindigkeit,Kraftstoffverbrauch,Berechneter Lastwert,Zeit-Kraftstoffverbrauch.,Kraftstofftank-Inhalt,Geschwindigkeit,
0.0,0.0,0.0,15.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,67.45098,0.0,
0.0,0.0,0.0,15.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,67.45098,0.0,
0.0,0.0,0.0,16.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,67.45098,0.0,
0.0,0.0,0.0,16.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,67.45098,0.0,
0.0,0.0,0.0,15.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,67.45098,0.0,
0.0017435721,0.0,1401.0,14.0,10.0,7.58,0.0,0.0,0.0,44.313725,2.4751022,67.45098,0.0,
0.0035256292,0.0,1396.0,14.0,0.0,10.06,0.0,0.25219747,164.2449,47.45098,3.284898,67.45098,2.0,
0.006576105,0.0,1390.0,14.0,10.0,10.5,0.0,0.20892006,164.2449,53.333332,3.4285717,64.70588,0.0,
0.008929444,0.0,1407.0,14.0,10.0,11.64,0.0,0.39965546,190.04082,49.80392,3.8008163,65.09804,2.0,
0.010604726,0.0,1402.0,15.0,10.0,10.0,0.0,0.5295823,163.2653,49.019608,3.265306,65.09804,2.0,
0.011999685,0.0,1416.0,15.0,10.0,5.18,0.0,0.5839036,169.14285,25.882353,1.6914285,65.09804,1.0,
0.014740014,0.0,1256.0,15.0,10.0,13.13,0.0,0.86442304,107.18367,78.43137,4.287347,63.52941,4.0,
0.017681824,0.0,1778.0,15.0,10.0,15.17,0.0,1.6541775,41.278908,65.4902,4.9534693,58.431374,12.0,
0.019471308,0.0,1379.0,15.0,10.0,10.87,0.0,2.4125152,23.662584,48.235294,3.5493877,59.60784,15.0,
0.021361893,0.0,1524.0,15.0,10.0,10.05,0.0,2.387424,164.08165,54.509804,3.281633,61.568626,2.0,
0.022402786,0.0,1260.0,15.0,10.0,5.16,0.0,2.8543828,16.84898,42.7451,1.6848979,66.27451,10.0,
0.024191448,0.0,1375.0,15.0,10.0,8.0,0.0,2.6728199,16.84898,35.686275,2.6122448,65.882355,0.0,
0.02535122,0.0,1405.0,15.0,10.0,7.08,0.0,2.5442822,16.84898,27.058823,2.3118367,65.09804,0.0,
0.027339438,0.0,1614.0,15.0,10.0,9.3,0.0,2.4134502,16.84898,40.39216,3.0367348,65.09804,0.0,
0.028458182,0.0,904.0,15.0,10.0,3.78,0.0,2.5965395,24.685717,34.117645,1.2342858,65.882355,5.0,
0.03043955,0.0,1527.0,15.0,10.0,9.56,0.0,2.474293,24.685717,50.19608,3.1216328,66.27451,0.0,
0.03130244,0.0,838.0,16.0,10.0,3.62,0.0,2.828177,13.133786,38.431374,1.1820408,69.01961,9.0,
