time,Kraftstoffdruck,Kraftstoffverbrauch der Reise,Reisedistanz,Motor-Umdrehungen,Einlaß-Lufttemperatur,Umgebungstemperatur,Luftdurchfluß,Motoröltemperatur,Durchschnittliche Reisegeschwindigkeit,Kraftstoffverbrauch,Berechneter Lastwert,Zeit-Kraftstoffverbrauch.,Kraftstofftank-Inhalt,Geschwindigkeit
08:23:14.798,,,,,,,,,,,,,,0
08:23:14.848,,,,789,,,,,,22.965984,,,,
08:23:15.169,,,21.7,,,,,,,,27.058823,,,
08:23:15.170,,1.5171819,,,,,,,96.456726,,,,,
08:23:15.385,,,,,11,,,,,,,,,
08:23:15.386,,,,,,,2.09,,,,,,,
08:23:15.414,25039998,,,,,,,,,,,,,
08:23:15.684,,,,,,5,,,,,,,,
08:23:16.248,,,,,,,,0,,,,0.682449,,
08:23:16.573,,,,,,,,,,,,,16.078432,
08:23:17.000,,,,,,,,,,,,,,0
08:23:17.114,,,,776,,,,,,,,,,
08:23:17.115,,,,,,,,,,22.965984,,,,
08:23:17.259,,,,,,,,,,,27.843138,,,
08:23:17.260,,1.5176,21.7,,,,,,96.19599,,,,,
08:23:17.415,,,,,11,,,,,,,,,
08:23:17.416,,,,,,,2.09,,,,,,,
08:23:17.543,24919998,,,,,,,,,,,,,
08:23:17.679,,,,,,5,,,,,,,,
08:23:18.336,,,,,,,,0,,,,0.682449,,
08:23:18.494,,,,,,,,,,,,,16.078432,
08:23:18.774,,,,,,,,,,,,,,0
08:23:18.911,,,,785,,,,,,,,,,
08:23:18.912,,,,,,,,,,22.965984,,,,
08:23:19.043,,,,,,,,,,,27.843138,,,
08:23:19.045,,,21.7,,,,,,,,,,,
08:23:19.047,,1.5179529,,,,,,,,,,,,
08:23:19.048,,,,,,,,,95.98423,,,,,
08:23:19.187,,,,,11,,2.17,,,,,,,
08:23:19.376,24949998,,,,,,,,,,,,,
08:23:19.519,,,,,,5,,,,,,,,
08:23:20.191,,,,,,,,0,,,,,,
08:23:20.192,,,,,,,,,,,,0.70857143,,
08:23:20.366,,,,,,,,,,,,,16.470589,
08:23:57.963,,,,,,,,,,,,,,0
08:23:58.114,,,,778,,,,,,,,,,
08:23:58.115,,,,,,,,,,22.965984,,,,
08:23:58.249,,,21.7,,,,,,,,29.019608,,,
08:23:58.250,,1.5185237,,,,,,,,,,,,
08:23:58.251,,,,,,,,,91.565414,,,,,
08:23:58.381,,,,,14,,,,,,,,,
08:23:58.382,,,,,,,2.23,,,,,,,
08:23:58.738,24929998,,,,,,,,,,,,,
08:23:59.267,,,,,,5,,,,,,,,
08:23:59.926,,,,,,,,0,,,,,,
08:23:59.928,,,,,,,,,,,,0.7281633,,
08:24:00.109,,,,,,,,,,,,,15.686275,
08:24:00.402,,,,,,,,,,,,,,0
08:24:00.545,,,,324,,,,,,,,,,
08:24:00.547,,,,,,,,,,22.965984,,,,
08:24:00.712,,,,,,,,,,,0,,,
08:24:00.714,,,21.7,,,,,,,,,,,
08:24:00.717,,1.5187473,,,,,,,,,,,,
08:24:00.719,,,,,,,,,91.301636,,,,,
