time,Kraftstoffdruck,Kraftstoffverbrauch der Reise,Reisedistanz,Motor-Umdrehungen,Einlaß-Lufttemperatur,Umgebungstemperatur,Luftdurchfluß,Motoröltemperatur,Durchschnittliche Reisegeschwindigkeit,Kraftstoffverbrauch,Berechneter Lastwert,Zeit-Kraftstoffverbrauch.,Kraftstofftank-Inhalt,Geschwindigkeit,
07:27:28.472,,,,1648.0,,,,,,,,,,0.0,
07:27:28.615,,,0.0,,,,,,,0.0,26.666666,,,,
07:27:28.616,,0.002945016,,,,,,,,,,,,,
07:27:28.617,,,,,,,,,0.0,,,,,,
07:27:28.760,,,,,18.0,,11.09,,,,,,,,
07:27:28.889,3.607E7,,,,,,,,,,,,,,
07:27:29.030,,,,,,15.0,,,,,,,,,
07:27:29.690,,,,,,,,0.0,,,,,,,
07:27:29.691,,,,,,,,,,,,3.6212246,,,
07:27:29.838,,,,,,,,,,,,,92.54902,,
07:27:31.068,,,,,,,,,,,,,,14.0,
07:27:31.070,,,,2081.0,,,,,,,,,,,
07:27:31.072,,,,,,,,,,52.221573,51.764706,,,,
07:27:31.073,,,0.0,,,,,,,,,,,,
07:27:31.074,,0.007934787,,,,,,,,,,,,,
07:27:31.075,,,,,,,,,4.376894,,,,,,
07:27:31.190,,,,,18.0,,,,,,,,,,
07:27:31.191,,,,,,,22.39,,,,,,,,
07:27:31.335,3.486E7,,,,,,,,,,,,,,
07:27:31.482,,,,,,15.0,,,,,,,,,
07:27:32.130,,,,,,,,0.0,,,,,,,
07:27:32.131,,,,,,,,,,,,7.3110204,,,
07:27:32.263,,,,,,,,,,,,,90.98039,,
07:27:33.338,,,,,,,,,,,,,,25.0,
07:27:33.339,,,,2036.0,,,,,,,,,,,
07:27:33.346,,,,,,,,,,31.177143,,,,,
07:27:33.347,,,,,,,,,,,62.7451,,,,
07:27:33.349,,,0.0,,,,,,,,,,,,
07:27:33.353,,0.012862507,,,,,,,,,,,,,
07:27:33.354,,,,,,,,,9.012923,,,,,,
07:27:33.504,,,,,18.0,,,,,,,,,,
07:27:33.509,,,,,,,23.87,,,,,,,,
07:27:33.645,3.429E7,,,,,,,,,,,,,,
07:27:34.125,,,,,,15.0,,,,,,,,,
07:27:34.937,,,,,,,,0.0,,,,,,,
07:27:34.945,,,,,,,,,,,,7.794286,,,
07:27:35.066,,,,,,,,,,,,,90.196075,,
07:27:36.399,,,,,,,,,,,,,,37.0,
07:27:36.400,,,,1954.0,,,,,,,,,,,
07:27:36.404,,,,,,,,,,2.956426,21.17647,,,,
07:27:36.408,,,0.1,,,,,,,,,,,,
