Kraftstoffdruck,Kraftstoffverbrauch der Reise,Reisedistanz,Motor-Umdrehungen,Einlaß-Lufttemperatur,Umgebungstemperatur,Luftdurchfluß,Motoröltemperatur,Durchschnittliche Reisegeschwindigkeit,Kraftstoffverbrauch,Berechneter Lastwert,Zeit-Kraftstoffverbrauch.,Kraftstofftank-Inhalt,Geschwindigkeit
35050000,0.010130931,0,1398,21,18,9.46,0,0,0,41.960785,3.0889795,34.509804,0
35000000,0.012577347,0,1390,20,18,9.65,0,0,0,41.960785,3.1510203,34.509804,0
34890000,0.01515728,0,1399,20,18,10.25,0,0,0,43.52941,3.3469388,34.509804,0
35150000,0.018478816,0,1418,20,18,12.46,0,0,0,43.92157,4.0685716,34.509804,0
34290000,0.022597877,0,1380,20,18,14.56,0,0.1263939,475.42862,52.156864,4.7542863,32.941177,1
32399998,0.023530956,0,2472,20,18,3.85,0,1.4849294,8.979591,10.980392,1.2571428,28.62745,14
34970000,0.024468984,0,839,20,18,3.52,0,1.3410082,8.979591,41.568626,1.1493877,27.058823,0
34800000,0.025522584,0,785,20,18,3.78,0,1.217351,8.979591,49.80392,1.2342858,27.450981,0
35240000,0.026354652,0,783,20,17,3.45,0,1.1275764,8.979591,44.313725,1.1265306,28.235294,0
35190000,0.02722805,0,783,21,17,3.34,0,1.0439222,8.979591,43.92157,1.0906122,29.019608,0
34830000,0.028549291,0,788,21,17,3.87,0,0.9517725,8.979591,43.92157,1.2636735,29.019608,0
33549998,0.029458366,0,1010,21,17,3.27,0,0.8880018,8.979591,30.588236,1.0677551,29.019608,0
34900000,0.030410979,0,791,21,17,3.28,0,0.8298412,8.979591,42.7451,1.0710205,29.019608,0
35200000,0.038269594,0,849,20,17,22.29,0,0.7687574,8.979591,45.098038,7.278368,27.450981,0
35350000,0.04828957,0,2653,19,17,31.79,0,1.832679,57.668934,65.4902,10.380408,23.529411,18
35750000,0.054232664,0.1,4171,19,17,18.85,0,4.226039,14.314191,8.235294,6.1551023,22.352942,43
29909998,0.055385936,0.1,2295,19,17,3.86,0,6.61888,2.5208163,7.8431373,1.2604082,25.882353,50
27219998,0.056029458,0.1,1377,19,16,2.71,0,8.069803,2.0579023,17.647058,0.884898,25.490196,43
29099998,0.05659945,0.2,824,19,16,2.6,0,8.458894,4.4683137,31.764706,0.8489796,24.705883,19
32779998,0.058524676,0.2,1052,19,16,8.8,0,8.579645,23.945578,71.37255,2.8734694,25.882353,12
32569998,0.05912282,0.2,1610,19,16,2.18,0,8.966987,3.9546485,7.8431373,0.71183676,25.490196,18
33219998,0.059639372,0.2,1451,19,16,2.5,0,9.388903,3.5492456,9.411765,0.8163265,25.490196,23
31649998,0.06034713,0.2,998,19,16,3.06,0,9.832063,4.344277,25.09804,0.99918365,27.058823,23
35440000,0.06393538,0.2,1752,19,16,16.77,0,10.129007,27.379593,59.215687,5.475919,25.882353,20
35390000,0.07061256,0.2,1947,18,16,30.22,0,10.623302,36.54724,77.254906,9.867755,16.862745,27
28999998,0.07138387,0.3,2566,19,16,2.87,0,11.634176,2.3428571,8.627451,0.93714285,18.431372,40
31569998,0.07235046,0.3,2591,19,16,3.73,0,12.385058,3.4798837,7.45098,1.2179593,24.705883,35
31389998,0.07359814,0.3,2330,0,16,5.15,0,13.044469,4.804665,6.6666665,1.6816328,27.843138,35
28659998,0.07467372,0.4,2672,19,15,3.39,0,14.035035,2.767347,7.0588236,1.1069388,29.019608,40
32599998,0.08097965,0.4,2560,19,0,30.28,0,14.552654,27.464853,56.862743,9.887347,29.80392,36
28999998,0.08184875,0.4,2769,19,15,2.88,0,15.458966,2.239067,7.45098,0.94040823,29.80392,42
27239998,0.08232177,0.5,1842,19,15,1.56,0,15.990156,1.5918367,6.6666665,0.50938773,27.058823,32
34380000,0.087109804,0.5,1128,19,15,19.92,0,15.866326,59.13172,46.666668,6.5044894,25.490196,11
33750000,0.09238035,0.5,4149,18,15,24.79,0,16.127361,28.909624,87.45098,8.094695,23.137255,28
34400000,0.100700945,0.5,2585,18,15,30.96,0,16.73175,25.921509,57.2549,10.109388,24.313726,39
31509998,0.101319574,0.5,949,19,15,2.89,0,17.170616,2.4833512,29.019608,0.9436735,25.882353,38
34940000,0.10641248,0.6,802,19,15,19.75,0,17.166483,37.935173,48.235294,6.44898,27.450981,17
35610000,0.11307442,0.6,1842,18,15,30.68,0,17.323278,40.071842,76.86275,10.017961,27.843138,25
35320000,0.114134744,0.6,3072,18,15,4.65,0,17.851448,3.531087,86.666664,1.5183674,26.666666,43
32029998,0.11463999,0.6,1187,19,15,2.32,0,18.317087,1.8036928,16.470589,0.757551,26.27451,42
32099998,0.118583634,0.7,812,19,15,16.37,0,18.393974,24.296846,27.450981,5.3453064,26.27451,22
34760000,0.1274623,0.7,2271,18,15,37.62,0,18.626493,40.946934,82.35294,12.2840805,25.882353,30
32609998,0.12793718,0.7,3584,18,15,2.21,0,19.206635,1.414966,77.254906,0.72163266,25.882353,51
28209998,0.12900434,0.7,3605,19,15,4.68,0,19.87462,2.7784786,7.8431373,1.5281632,25.882353,55
28189998,0.1296195,0.8,2927,19,15,1.72,0,20.674643,1.170068,8.627451,0.5616327,25.490196,48
31049998,0.13732207,0.8,861,19,15,25.08,0,20.777727,32.757553,29.80392,8.189388,26.27451,25
32369998,0.13804884,0.8,2210,19,15,2.42,0,21.010721,2.5490456,7.0588236,0.7902041,26.27451,31
34510000,0.15322423,0.9,2504,18,15,47.01,0,21.24953,49.51679,90.588234,15.350204,25.882353,31
